AIRLINE_CODE;SOURCE_CODE;DESTINATION_CODE;DISTANCE;TIME
2B;GKA;MAG;1505.8102948182277;2.3528417859561763
2B;MAG;GKA;1505.8102948182277;2.3528417859561763
2B;GKA;HGU;1039.7372396500136;1.7099823995172603
2B;HGU;GKA;1039.7372396500136;1.7099823995172603
2B;GKA;LAE;447.8629210754773;0.8936040290696239
2B;LAE;GKA;447.8629210754773;0.8936040290696239
2B;MAG;HGU;769.9893072489684;1.3379162858606461
2B;HGU;MAG;769.9893072489684;1.3379162858606461
2B;MAG;POM;1337.7294545329735;2.121006144183412
2B;POM;MAG;1337.7294545329735;2.121006144183412
2B;HGU;LAE;715.1671234065141;1.262299480560709
2B;LAE;HGU;715.1671234065141;1.262299480560709
2B;HGU;POM;891.7814721191231;1.5059054787849973
2B;POM;HGU;891.7814721191231;1.5059054787849973
2B;LAE;WWK;950.7910932946969;1.5872980597168236
2B;WWK;LAE;950.7910932946969;1.5872980597168236
